stationName,date,record,maxAirTmp,timeMaxAirTmp,minAirTmp,timeMinAirTmp,avgAirTmp,avgRelHum,avgDewPoint,maxRelHum,timeMaxRelHum,maxDewPoint,timeMaxDewPoint,minRelHum,timeMinRelHum,minDewPoint,timeMinDewPoint,avgWindSpeed,maxWindSpeed,timeMaxWindSpeed,maxWindSpeedDir,precip,solRad,eto,etoFlag,hstAirTmp01,hstAirTmp02,hstAirTmp03,hstAirTmp04,hstAirTmp05,hstAirTmp06,hstAirTmp07,hstAirTmp08,hstAirTmp09,hstAirTmp10,hstAirTmp11,hstAirTmp12,hstAirTmp13,batVolt,yearRain,eto7,eto30,maxSoilTmp,minSoilTmp,avgSoilTmp
Coastal,1/1/19,0,54.85,1429,41.82,435,46.86,14.66,,,,,,,,,,4.208,30.59,620,92,0,289.9,0.1,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/2/19,0,59.72,1047,37.56,324,47.5,35.94,,,,,,,,,,0.977,22.2,19,143,0,281.5,0.064,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/3/19,0,62.09,1215,38.29,22,47.65,61.35,,,,,,,,,,0.952,8.79,1025,122,0,287.6,0.065,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/4/19,0,59.46,1356,37.56,245,47,79.94,,,,,,,,,,0.674,7.108,1247,258,0,289.1,0.064,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/5/19,0,51.77,1233,42.12,23,47.85,85.9,,,,,,,,,,3.79,17.17,2148,123,0.44,53.53,0.022,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/6/19,0,57.47,1114,40.84,700,47.87,87.6,,,,,,,,,,1.373,10.46,55,109,0.01,217.8,0.047,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/7/19,0,59.96,1238,46.08,542,50.33,81.1,,,,,,,,,,2.131,13.82,342,104,0.02,180.7,0.042,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/8/19,0,68.12,1228,44.98,456,54.96,66.74,,,,,,,,,,1.639,12.14,1748,106,0,248.1,0.066,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/9/19,0,65.28,1223,43.27,605,52.62,81.4,,,,,,,,,,1.088,10.46,240,120,0,281.4,0.066,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/10/19,0,62.21,1108,45.23,422,51.72,90.8,,,,,,,,,,0.264,7.108,158,277,0,259.3,0.059,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/11/19,0,59.67,1232,44.8,645,48.9,92.9,,,,,,,,,,1.733,15.49,2339,102,0,171.3,0.039,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/12/19,0,59.75,1433,43.28,2254,48.88,90.3,,,,,,,,,,2.304,20.52,408,129,0.77,239.3,0.057,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/13/19,0,58.57,1355,40.41,425,49.46,78.79,,,,,,,,,,1.278,13.82,2302,105,0,207.2,0.049,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/14/19,0,53.72,659,47.09,1418,49.81,79.97,,,,,,,,,,3.984,22.2,931,112,0.7,34.29,0.022,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/15/19,0,57.05,1158,45.57,817,50.12,91.8,,,,,,,,,,5.135,28.91,1837,116,1.17,123.9,0.035,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/16/19,0,55.11,1547,50.97,712,53.15,98.2,,,,,,,,,,5.063,22.2,1100,166,0.96,90.5,0.02,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/17/19,0,55.47,1526,49.89,2230,53.75,100,,,,,,,,,,2.647,20.52,515,119,1.03,26.78,0.007,M,,,,,,,,,,,,,,,,,,,,
Coastal,1/18/19,0,60.56,1416,49.16,1837,52.39,95.7,,,,,,,,,,0.198,7.108,1156,154,0,167.2,0.039,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/19/19,0,72.99,1100,44.98,434,57.46,66.89,,,,,,,,,,0.899,7.108,2247,107,0,301.1,0.076,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/20/19,0,70.9,1022,49.4,655,56.48,71.58,,,,,,,,,,0.736,12.14,1415,304,0,245.4,0.063,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/21/19,0,59.47,1216,42,2301,49.91,61.83,,,,,,,,,,2.832,18.85,1040,298,0,322.7,0.083,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/22/19,0,,,,,,,,,,,,,,,,,,,,,,0.077467,A,,,,,,,,,,,,,,,,,,,,
Coastal,1/23/19,0,,,,,,,,,,,,,,,,,,,,,,0.077467,A,,,,,,,,,,,,,,,,,,,,
Coastal,1/24/19,0,,,,,,,,,,,,,,,,,,,,,,0.077467,A,,,,,,,,,,,,,,,,,,,,
Coastal,1/25/19,0,74.55,1205,39.7,214,63.43,28.05,,,,,,,,,,1.154,15.49,746,104,0,1275,0.327,S,,,,,,,,,,,,,,,,,,,,
Coastal,1/26/19,0,77.77,1216,51.82,2313,64.82,19.98,,,,,,,,,,1.933,20.52,332,96,0,337.1,0.104,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/27/19,0,73.86,951,47.74,638,58.27,34.51,,,,,,,,,,0.764,5.431,201,108,0,360.9,0.09,*,,,,,,,,,,,,,,,,,,,,
Coastal,1/28/19,0,71.94,1404,39.36,536,55.49,54.49,,,,,,,,,,0.705,7.108,242,109,0,266.4,0.066,*,,,,,,,,,,,,,,,,,,,,
